Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
CLRB,Cellectar Biosciences Inc.  Common Stock,14359466,United States,,41503,Health Care,Biotechnology: Pharmaceutical Preparations
CLRC,ClimateRock Class A Ordinary Shares,103105406,United Kingdom,2022,33032,Finance,Blank Checks
CLRCW,ClimateRock Warrant,0,United Kingdom,2022,2790,Finance,Blank Checks
CLRO,ClearOne Inc. (DE) Common Stock,31617373,United States,,94763,Technology,Radio And Television Broadcasting And Communications Equipment
CLSD,Clearside Biomedical Inc. Common Stock,61394546,United States,2016,95460,Health Care,Biotechnology: Pharmaceutical Preparations
CLSK,CleanSpark Inc. Common Stock,231638961,United States,,5364563,Technology,Computer Software: Prepackaged Software
CLST,Catalyst Bancorp Inc. Common Stock,65278600,United States,2021,4814,,
CLVR,Clever Leaves Holdings Inc. Common Shares,14787454,Colombia,,90183,Health Care,Pharmaceuticals and Biotechnology
CLVRW,Clever Leaves Holdings Inc. Warrant,0,Colombia,,1500,Health Care,Pharmaceuticals and Biotechnology
CLWT,Euro Tech Holdings Company Limited Common Stock,9587844,Hong Kong,1997,7896,Industrials,Industrial Machinery/Components
CLXT,Calyxt Inc. Common Stock,17686637,United States,2017,242970,Consumer Discretionary,Food Distributors
CMAX,CareMax Inc. Class A Common Stock,374077482,United States,2020,1375864,Technology,Computer Software: Prepackaged Software
CMAXW,CareMax Inc. Warrant,0,United States,2020,12970,Technology,Computer Software: Prepackaged Software
CMBM,Cambium Networks Corporation Ordinary Shares,489726985,Cayman Islands,2019,69923,Technology,Radio And Television Broadcasting And Communications Equipment
CMCAW,Capitalworks Emerging Markets Acquisition Corp Warrant,0,United States,2022,19,Finance,Blank Checks
CMCO,Columbus McKinnon Corporation Common Stock,1026771375,United States,1996,147528,Industrials,Construction/Ag Equipment/Trucks
CMCSA,Comcast Corporation Class A Common Stock,1.55952E+11,United States,,17058185,Consumer Discretionary,Telecommunications Equipment
CMCT,Creative Media & Community Trust Corporation Common stock,101183446,United States,,52457,Real Estate,Real Estate Investment Trusts
CME,CME Group Inc. Class A Common Stock,65725924257,United States,2002,2753199,Finance,Investment Bankers/Brokers/Service
CMLS,Cumulus Media Inc. Class A Common Stock,76727110,United States,,408958,Consumer Discretionary,Broadcasting
CMMB,Chemomab Therapeutics Ltd. American Depositary Share,18671480,Israel,2019,61411,Health Care,Biotechnology: Pharmaceutical Preparations
CMND,Clearmind Medicine Inc. Common Shares,7264518,Canada,,81206,Health Care,Pharmaceuticals and Biotechnology
CMPO,CompoSecure Inc. Class A Common Stock,113942400,United States,2020,312895,Industrials,Metal Fabrications
CMPOW,CompoSecure Inc. Warrant,0,United States,2020,47553,Industrials,Metal Fabrications
CMPR,Cimpress plc Ordinary Shares (Ireland),889083771,Netherlands,2005,103785,Consumer Discretionary,Recreational Games/Products/Toys
CMPS,COMPASS Pathways Plc American Depository Shares,397239156,United Kingdom,2020,305633,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,Compass Therapeutics Inc. Common Stock,408860373,United States,,331271,Health Care,Biotechnology: Pharmaceutical Preparations
CMRA,Comera Life Sciences Holdings Inc. Common Stock,19682669,United States,,14240,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMRX,Chimerix Inc. Common Stock,115339116,United States,2013,410653,Health Care,Biotechnology: Pharmaceutical Preparations
CMTL,Comtech Telecommunications Corp. Common Stock,345524844,United States,,103813,Technology,Radio And Television Broadcasting And Communications Equipment
CNDT,Conduent Incorporated Common Stock ,751117120,United States,,847432,Technology,Retail: Computer Software & Peripheral Equipment
CNET,ZW Data Action Technologies Inc. Common Stock,13471206,China,,163371,Consumer Discretionary,Advertising
CNEY,CN Energy Group Inc. Class A Ordinary Shares,11566296,China,2021,620282,Industrials,Major Chemicals
CNFR,Conifer Holdings Inc. Common Stock,19546118,United States,2015,1326,Finance,Property-Casualty Insurers
CNFRL,Conifer Holdings Inc. 6.75% Senior Unsecured Notes due 2023,0,United States,,1586,Finance,Property-Casualty Insurers
CNGL,Canna-Global Acquisition Corp. Class A Common Stock,311201100,United States,2022,4605,Industrials,Consumer Electronics/Appliances
CNGLU,Canna-Global Acquisition Corp Unit,0,United States,2021,8185,Industrials,Consumer Electronics/Appliances
CNGLW,Canna-Global Acquisition Corp Warrant,0,United States,2022,15601,Industrials,Consumer Electronics/Appliances
CNOB,ConnectOne Bancorp Inc. Common Stock,733846400,United States,,478771,Finance,Major Banks
CNOBP,ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,0,United States,,42238,Finance,Major Banks
CNSL,Consolidated Communications Holdings Inc. Common Stock,276949603,United States,2005,920413,Telecommunications,Telecommunications Equipment
CNSP,CNS Pharmaceuticals Inc. Common Stock,1467858,United States,2019,20837,Health Care,Biotechnology: Pharmaceutical Preparations
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,373655176,United Kingdom,2021,82581,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,64918619,China,2021,1218489,Health Care,Biotechnology: Pharmaceutical Preparations
CNTG,Centogene N.V. Common Shares,22816212,Germany,2019,13383,Health Care,Medical Specialities
CNTX,Context Therapeutics Inc. Common Stock,10537595,United States,2021,66932,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,Century Casinos Inc. Common Stock,220993948,United States,,103490,Consumer Discretionary,Hotels/Resorts
CNXA,Connexa Sports Technologies Inc. Common Stock,2419807,United States,,45458,Consumer Discretionary,Recreational Games/Products/Toys
CNXC,Concentrix Corporation Common Stock,6297750872,United States,,332690,Technology,Computer Software: Prepackaged Software
CNXN,PC Connection Inc. Common Stock,1143853500,United States,,50355,Technology,Retail: Computer Software & Peripheral Equipment
COCO,The Vita Coco Company Inc. Common Stock,989859968,United States,2021,153728,Consumer Staples,Beverages (Production/Distribution)
COCP,Cocrystal Pharma Inc. Common Stock,15227410,United States,,31050,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,Coda Octopus Group Inc. Common stock,75611659,United States,,15476,Industrials,Industrial Machinery/Components
CODX,Co-Diagnostics Inc. Common Stock,59053105,United States,2017,161585,Health Care,Medical Specialities
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,7367636,United States,2020,120849,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COEPW,Coeptis Therapeutics Holdings Inc. Warrants,0,United States,2020,37572,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COFS,ChoiceOne Financial Services Inc. Common Stock,198049182,United States,,3127,Finance,Major Banks
COGT,Cogent Biosciences Inc. Common Stock,762537365,United States,2018,370816,Health Care,Biotechnology: Pharmaceutical Preparations
COHU,Cohu Inc. Common Stock,1779231218,United States,,375643,Industrials,Electrical Products
COIN,Coinbase Global Inc. Class A Common Stock,21996981000,United States,,22991862,Finance,Investment Bankers/Brokers/Service
COKE,Coca-Cola Consolidated Inc. Common Stock,4848821846,United States,1972,26421,Consumer Staples,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,1782121034,United States,1992,4477467,Finance,Major Banks
COLL,Collegium Pharmaceutical Inc. Common Stock,835605163,United States,2015,372317,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,Columbia Sportswear Company Common Stock,5449228409,United States,1998,370358,Consumer Discretionary,Apparel
COMM,CommScope Holding Company Inc. Common Stock,1354271984,United States,2013,2356268,Technology,Radio And Television Broadcasting And Communications Equipment
COMS,ComSovereign Holding Corp. Common Stock,4835510,United States,,110059,Consumer Discretionary,Telecommunications Equipment
